Processes: 303 total, 2 running, 301 sleeping, 1490 threads
2021/10/12 15:53:43
Load Avg: 1.23, 1.25, 1.18
CPU usage: 4.67% user, 26.16% sys, 69.15% idle
SharedLibs: 157M resident, 52M data, 30M linkedit.
MemRegions: 129813 total, 1685M resident, 52M private, 532M shared.
PhysMem: 8172M used (2223M wired), 18M unused.
VM: 5177G vsize, 1371M framework vsize, 12836793(0) swapins, 13807265(0) swapouts.
Networks: packets: 19427236/22G in, 10440141/967M out.
Disks: 18380597/185G read, 41489324/419G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM    PURG   CMPRS  PGRP  PPID  STATE    BOOSTS      %CPU_ME %CPU_OTHRS UID FAULTS    COW     MSGSENT    MSGRECV    SYSBSD     SYSMACH    CSW        PAGEINS  IDLEW    POWER INSTRS CYCLES USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
94605  ContextService   0.0  00:00.12 2     2   42+    4796K+ 0B     4752K+ 94605 1     sleeping *0[1+]      0.00000 0.00000    501 3447+     712+    250+       63+        888+       516+       592+       1095+    1        0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94604  suggestd         0.0  00:00.30 2     1   117+   9316K+ 0B     9264K+ 94604 1     sleeping *0[6+]      0.00000 0.00000    501 10705+    328+    965+       228+       6743+      1793+      2680+      31+      7        0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94603  coreduetd        0.0  00:00.08 2     1   48+    3996K+ 0B     2504K+ 94603 1     sleeping *0[2+]      0.00000 0.00000    0   5188+     194+    237+       88+        2008+      487+       524+       33+      4        0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A
94601  com.apple.WebKit 0.0  00:00.15 3     1   90+    5044K+ 0B     4528K+ 94601 1     sleeping *0[42+]     0.00000 0.00000    501 8787+     395+    1225+      386+       2877+      3700+      1548+      137+     180      0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94594  mobileassetd     0.0  00:00.59 2     1   41+    14M+   0B     1320K+ 94594 1     sleeping *0[24+]     0.00000 0.00000    0   13483+    173+    468+       189+       2628+      779+       1539+      73+      14       0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A
94593  com.apple.audio. 0.0  00:00.01 2     2   16+    804K+  0B     796K+  94593 1     sleeping *0[2+]      0.00000 0.00000    501 2589+     138+    97+        34+        446+       208+       64+        7+       1        0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94592  AudioComponentRe 0.0  00:00.16 2     1   59+    3712K+ 0B     3640K+ 94592 1     sleeping *0[1+]      0.00000 0.00000    501 3679+     447+    185+       50+        13770+     417+       488+       38+      0        0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94591  MTLCompilerServi 0.0  00:00.16 2     2   24+    6560K+ 0B     6548K+ 94591 1     sleeping *0[2+]      0.00000 0.00000    501 5120+     455+    127+       40+        614+       319+       746+       2007+    1        0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A  
94588  com.apple.WebKit 0.0  00:04.76 9     2   176+   100M+  0B     25M+   94588 1     sleeping  0[78+]     0.00000 0.00000    501 69527+    889+    25806+     10788+     44394+     62763+     33542+     2935+    1053     0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94587  com.apple.Safari 0.0  00:00.03 2     1   42+    2384K+ 0B     2360K+ 94587 1     sleeping *0[12+]     0.00000 0.00000    501 3827+     158+    180+       48+        654+       356+       283+       38+      1        0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94585  com.apple.Safari 0.0  00:00.11 3     1   50+    4164K+ 0B     3912K+ 94585 1     sleeping *0[3+]      0.00000 0.00000    501 7814+     211+    243+       70+        2206+      563+       1311+      15+      147      0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94584  pkd              0.0  00:00.17 2     1   52+    2388K+ 0B     2312K+ 94584 1     sleeping *0[5+]      0.00000 0.00000    501 3898+     175+    395+       109+       5978+      790+       1952+      68+      2        0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94565  distnoted        0.0  00:00.01 2     1   33+    1936K+ 0B     1700K+ 94565 1     sleeping *0[1+]      0.00000 0.00000    89  1036+     93+     108+       40+        316+       246+       68+        0        0        0.0   0      0      _spotlight         N/A    N/A   N/A   N/A   N/A   N/A
94564  mdworker_shared  0.0  00:00.04 3     1   47+    2948K+ 0B     2160K+ 94564 1     sleeping *0[1+]      0.00000 0.00000    89  3859+     188+    573+       242+       756+       599+       204+       0        2        0.0   0      0      _spotlight         N/A    N/A   N/A   N/A   N/A   N/A
94563  mdworker_shared  0.0  00:00.59 4     1   61+    7784K+ 0B     7596K+ 94563 1     sleeping *0[1+]      0.00000 0.00000    501 37928+    189+    1382+      513+       6153+      4849+      1175+      42+      0        0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94558  sysmond          0.0  00:00.17 2     2   19+    800K+  0B     356K+  94558 1     sleeping  0[0]       0.00000 0.00000    0   1780+     126+    6580+      2987+      5694+      6099+      1225+      1+       1        0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A
94554  mdworker_shared  0.0  00:00.11 4     1   61+    4480K+ 0B     3552K+ 94554 1     sleeping *0[1+]      0.00000 0.00000    501 6448+     189+    854+       344+       1680+      1105+      353+       0        1        0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94553  com.apple.hiserv 0.0  00:00.04 2     2   33+    936K+  0B     344K+  94553 1     sleeping *0[88+]     0.00000 0.00000    501 1797+     128+    1364+      256+       1420+      1552+      816+       1+       1        0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94552  gamecontrollerd  0.0  00:00.12 3     2   41+    1240K+ 0B     680K+  94552 1     sleeping *0[130+]    0.00000 0.00000    247 2984+     151+    833+       172+       4469+      1877+      2692+      2+       259      0.0   0      0      _gamecontrollerd   N/A    N/A   N/A   N/A   N/A   N/A
94551  cfprefsd         0.0  00:00.00 2     2   20+    432K+  0B     252K+  94551 1     sleeping *0[21+]     0.00000 0.00000    200 523+      91+     194+       62+        421+       301+       120+       0        2        0.0   0      0      _softwareupdate    N/A    N/A   N/A   N/A   N/A   N/A
94550  cfprefsd         0.0  00:00.00 2     2   20+    440K+  0B     260K+  94550 1     sleeping *0[21+]     0.00000 0.00000    205 517+      91+     185+       62+        411+       301+       116+       0        2        0.0   0      0      _locationd         N/A    N/A   N/A   N/A   N/A   N/A
94549  mediaremoted     0.0  00:00.18 2     1   134+   3012K+ 0B     1948K+ 94549 1     sleeping *0[78+]     0.00000 0.00000    0   7120+     250+    3979+      1082+      6223+      5079+      2996+      37+      8        0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A
94548  SiriNCService    0.0  00:00.47 3     1   154+   3860K+ 0B     2228K+ 94548 1     sleeping *0[564+]    0.00000 0.00000    501 8782+     290+    21581+     6515+      7766+      26390+     6502+      75+      169      0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94547  assistantd       0.0  00:00.12 2     1   105+   5056K+ 0B     4064K+ 94547 1     sleeping *0[36+]     0.00000 0.00000    501 7871+     366+    742+       319+       3758+      1363+      1517+      134+     15       0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94546  mdworker_shared  0.0  00:01.73 4     1   61+    7280K+ 0B     816K+  94546 1     sleeping *0[1+]      0.00000 0.00000    501 110287+   189+    3229+      1188+      17047+     14321+     3119+      0        1        0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94543  nsurlstoraged    0.0  00:00.15 2     1   58+    4508K+ 0B     2776K+ 94543 1     sleeping *0[26+]     0.00000 0.00000    501 4071+     159+    379+       119+       2078+      819+       739+       1+       14       0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94542  adid             0.0  00:00.06 2     1   34+    3056K+ 0B     580K+  94542 1     sleeping *0[8+]      0.00000 0.00000    265 3693+     138+    303+       63+        1620+      568+       175+       0        1        0.0   0      0      _fpsd              N/A    N/A   N/A   N/A   N/A   N/A
