Processes: 303 total, 2 running, 301 sleeping, 1490 threads
2021/10/12 15:53:43
Load Avg: 1.23, 1.25, 1.18
CPU usage: 4.67% user, 26.16% sys, 69.15% idle
SharedLibs: 157M resident, 52M data, 30M linkedit.
MemRegions: 129813 total, 1685M resident, 52M private, 532M shared.
PhysMem: 8172M used (2223M wired), 18M unused.
VM: 5177G vsize, 1371M framework vsize, 12836793(0) swapins, 13807265(0) swapouts.
Networks: packets: 19427236/22G in, 10440141/967M out.
Disks: 18380597/185G read, 41489324/419G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM    PURG   CMPRS  PGRP  PPID  STATE    BOOSTS      %CPU_ME %CPU_OTHRS UID FAULTS    COW     MSGSENT    MSGRECV    SYSBSD     SYSMACH    CSW        PAGEINS  IDLEW    POWER INSTRS CYCLES USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
358    coreauthd        0.0  00:02.21 2     1   46     1688K  0B     864K   358   1     sleeping  0[3136]    0.00000 0.00000    501 24683     175     22397      9757       15499      22828      26085      147      176       0.0   0         0         ganslev  N/A    N/A   N/A   N/A   N/A   N/A
353    com.apple.Perfor 0.0  00:10.82 2     2   71     5388K  0B     4544K  353   1     sleeping  0[25173]   0.00000 0.00000    0   34358     125     86950      31025      274482     61051      108352     61       942       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A
345    systemstats      0.0  00:01.03 2     1   75     1540K  0B     1372K  51    51    sleeping  0[0]       0.00000 0.00000    0   30549     180     19324      9435       14116      30818      26225      206      451       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A
331    CVMServer        0.0  00:00.62 2     2   82     2256K  0B     2252K  331   1     sleeping *0[1]       0.00000 0.00000    0   10496     136     9362       3297       46091      9119       5021       62       179       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A
323    mds_stores       0.0  31:18.92 5     3   75     26M+   92K    18M    323   1     sleeping *0[1]       0.00000 0.07948    0   24108310+ 62022   4532987+   1754938+   31258238+  4376363+   11234353+  1568633  11580     0.0   693405    1476078   root               N/A    N/A   N/A   N/A   N/A   N/A
316    thermald         0.0  00:00.66 2     1   33     816K   0B     808K   316   1     sleeping *0[1]       0.00000 0.00000    0   5918      128     3595       2151       15041      6547       11383      66       5         0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A
311    watchdogd        0.0  00:01.01 4     1   40     748K   0B     680K   311   1     sleeping *0[1]       0.00000 0.00000    0   3960      123     13432      5325       15185      11070      21278      10       4608      0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A
293    tccd             0.0  00:15.40 2     1   50     7208K  64K    4668K  293   1     sleeping  0[1319]    0.00000 0.00000    0   95278     201     28404      16422      431732     66023      92492      1550     419       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A
283    symptomsd        0.0  00:39.63 2     1   133    6088K  64K    2828K  283   1     sleeping  0[6235]    0.00000 0.00000    24  237400    200     124298     62294      1196264    244044     481621     11872    3799      0.0   0         0         _networkd          N/A    N/A   N/A   N/A   N/A   N/A
232    syspolicyd       0.0  02:45.48 3     1   112    23M    0B     21M    232   1     sleeping  0[3742]    0.00000 0.00000    0   839783    283     116362     29533      4196583    1526231    1275941    473      5838      0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A
181    diskmanagementd  0.0  00:03.35 52    1   625    15M    0B     15M    181   1     sleeping *0[1]       0.00000 0.00000    0   116300    750     71683      26269      179315     106446     50720      902      595       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A
175    awdd             0.0  00:13.49 2     1   173    5464K  0B     4220K  175   1     sleeping  0[5580]    0.00000 0.00000    0   69090     213     83185      47970      400344     123956     171441     4480     5873      0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A
173    airportd         0.0  03:19.65 6     4   155    13M    0B     8376K  173   1     sleeping  0[51542]   0.00000 0.00000    0   770268    249     1501065    595755     4648981    1669291    1952761    8682     33289     0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A
167    apfsd            0.0  00:00.46 2     1   39     1164K  0B     1148K  167   1     sleeping *0[1]       0.00000 0.00000    0   11778     138     9964       1278       2831       17207      12262      68       125       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A
165    nsurlsessiond    0.0  00:20.09 2     1   72     6164K  0B     4612K  165   1     sleeping  0[33086]   0.00000 0.00000    242 146836    240     176069     58112      767746     253278     375973     5816     9995      0.0   0         0         _nsurlsessiond     N/A    N/A   N/A   N/A   N/A   N/A
156    WindowServer     0.2  70:06.64 9     3   2975   703M   8320K  195M   156   1     sleeping *0[1]       0.00000 0.00065    88  8816517+  110891  78005667+  29948493+  79497602+  91972729+  42632014+  9198     957007+   0.4   2454380   5416269   _windowserver      N/A    N/A   N/A   N/A   N/A   N/A
151    mDNSResponderHel 0.0  00:04.93 3     2   421    1496K  0B     1420K  151   1     sleeping *0[1]       0.00000 0.00000    0   11576     133     203505+    102683+    110669+    103897+    122353+    151      53042+    0.0   12779     65632     root               N/A    N/A   N/A   N/A   N/A   N/A
149    mDNSResponder    0.0  00:33.67 5     1   469    4616K  0B     3384K  149   1     sleeping *0[1]       0.00000 0.00000    65  55891     174     86763      32877      2368955    152378     361366     1584     36313     0.0   0         0         _mdnsresponder     N/A    N/A   N/A   N/A   N/A   N/A
126    coreaudiod       0.0  00:43.04 5     1   321    5924K  0B     4600K  126   1     sleeping *0[1]       0.00000 0.00000    202 154773    254     1000039    215647     1184640    1367823    1006766    2084     151957    0.0   0         0         _coreaudiod        N/A    N/A   N/A   N/A   N/A   N/A
123    lsd              0.0  00:12.42 2     1   100    7352K  0B     4404K  123   1     sleeping  0[2428]    0.00000 0.00000    0   195928    9012    43114      21699      374456     61191      75562      7227     576       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A
121    trustd           0.0  01:42.31 2     2   87     9140K  36K    6324K  121   1     sleeping  0[29514]   0.00000 0.00000    0   183116    191     342157     60781      2372042    826804     635177     1476     2368      0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A
115    com.apple.ctkpcs 0.0  00:00.01 2     2   27     884K   0B     864K   115   1     sleeping  0[1]       0.00000 0.00000    0   2629      144     94         38         414        183        118        74       0         0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A
113    contextstored    0.0  00:58.87 2     1   107    5988K  492K   2332K  113   1     sleeping  0[24980]   0.00000 0.00000    0   266701    202     632838+    170341+    1106648+   901422+    841414+    4134     20123+    0.0   68307     275728    root               N/A    N/A   N/A   N/A   N/A   N/A
107    coreservicesd    0.0  03:29.40 4     1   249    6988K  0B     5432K  107   1     sleeping *0[1]       0.00000 0.00000    0   49868     227     361123     90189      4764145+   513551     3767764+   266      68266+    0.0   228249    283055    root               N/A    N/A   N/A   N/A   N/A   N/A
106    authd            0.0  00:05.74 3     3   73     6352K  0B     6344K  106   1     sleeping  0[3476]    0.00000 0.00000    0   64517     184     27563      13306      131332     53879      49629      1415     374       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A
104    cfprefsd         0.0  00:30.35 2     2   516    2032K  0B     732K   104   1     sleeping  0[32073]   0.00000 0.00000    0   115829    91      353872     120753     954475     461270     315442     492      2633      0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A
103    distnoted        0.0  00:04.33 2     1   119    2384K  0B     1908K  103   1     sleeping *0[1]       0.00000 0.00000    241 16371     92      79756      20335      46909      83461      29631      68       0         0.0   0         0         _distnote          N/A    N/A   N/A   N/A   N/A   N/A
102    notifyd          0.0  00:47.18 2     2   304    2012K  0B     256K   102   1     sleeping *0[1]       0.00000 0.00000    0   36634     74      1659860    692463     1108685    1756803    1208424    27       960       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A
101    AirPlayXPCHelper 0.0  00:03.89 2     2   124    3904K  0B     3824K  101   1     sleeping *0[1]       0.00000 0.00000    0   56624     211     66899      32425      143094     89227      81256      2345     548       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A
100    corebrightnessd  0.0  00:11.52 3     2   92     3380K  0B     2476K  100   1     sleeping *0[1]       0.00000 0.00000    0   42175     159     166280     37999      187715     494101     210221     1139     6150      0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A
98     hidd             0.0  17:46.69 5     1   349    5088K  0B     2592K  98    1     sleeping *0[1]       0.00000 0.00000    261 578950    178     15077318   9392768    30716199   20411300   13205609   5590     71783     0.0   0         0         _hidd              N/A    N/A   N/A   N/A   N/A   N/A
97     bluetoothd       0.0  02:55.23 3     1   574    4300K  0B     2580K  97    1     sleeping *0[1]       0.00000 0.00000    0   96916     240     4428465    2763479    882792     5013693    1630952    5039     1278      0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A
95     KernelEventAgent 0.0  00:00.02 3     1   25     708K   0B     704K   95    1     sleeping *0[1]       0.00000 0.00000    0   2156      123     215        22         2232       951        573        4        0         0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A
94     revisiond        0.0  21:18.78 3     1   64     4220K  0B     4212K  94    1     sleeping  0[455407]  0.00000 0.00000    0   1656134   172     11365358   2443616    28883664   45534468   8241868    941      6757      0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A
93     logind           0.0  00:00.29 2     1   63     1164K  0B     1156K  93    1     sleeping *0[1]       0.00000 0.00000    0   15946     1150    3359       1967       4666       7049       5614       151      64        0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A
92     loginwindow      0.0  00:59.23 2     1   689    29M    0B     18M    92    1     sleeping *0[6228]    0.00000 0.00000    501 597417    1393    500170     256325     522418     1153766    548616     10911    26489     0.0   0         0         ganslev  N/A    N/A   N/A   N/A   N/A   N/A
87     dasd             0.0  00:38.78 3     2   60     4788K  0B     2872K  87    1     sleeping  0[13943]   0.00000 0.00000    0   138714    218     147918     29898      415830     199462     283652     2675     8748      0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A
86     displaypolicyd   0.0  00:01.08 6     1   49     2036K  0B     1892K  86    1     sleeping *0[1]       0.00000 0.00000    244 14464     150     6313       4129       48457      12622      59087      115      5674      0.0   0         0         _displaypolicyd    N/A    N/A   N/A   N/A   N/A   N/A
85     autofsd          0.0  00:00.03 2     2   20     752K   0B     748K   85    1     sleeping *0[1]       0.00000 0.00000    0   2435      163     62         59         690        181        551        6        9         0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A
83     locationd        0.0  02:36.35 2     1   150    10M    128K   5020K  83    1     sleeping  0[8859]    0.00000 0.00380    205 531145    305     200781+    88628+     4230627+   1169701+   780537+    29439    16937     0.0   73355     198570    _locationd         N/A    N/A   N/A   N/A   N/A   N/A
80     securityd        0.0  00:19.06 5     1   271    6076K  0B     4448K  80    1     sleeping *0[1]       0.00000 0.00000    0   116394    411     166610     28215      484523     1857880    236254     939      523       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A
78     timed            0.0  00:04.25 2     1   46     1724K  0B     1700K  78    1     sleeping *0[1]       0.00000 0.00000    266 31918     160     102337     8357       127657     55666      48340      741      429       0.0   0         0         _timed             N/A    N/A   N/A   N/A   N/A   N/A
77     launchservicesd  0.0  01:10.93 3     3   582    6660K  0B     3252K  77    1     sleeping  0[97871]   0.00000 0.00000    0   257926    180     1867322    517848     2589319    1555491    1143808    456      2742      0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A
76     nbstated         0.0  00:00.46 2     1   39     3056K  0B     3040K  76    1     sleeping  0[0]       0.00000 0.00000    0   21078     145     1052       4287       9411       6877       9457       12       108       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A
75     apsd             0.0  00:13.20 5     2   173    6744K  0B     3624K  75    1     sleeping *0[1]       0.00000 0.00000    0   114900    324     136416     52597      476894     299069     177298     3028     4718      0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A
74     opendirectoryd   0.0  02:12.94 9     9   838    8668K  64K    4556K  74    1     sleeping *0[1]       0.00000 0.00000    0   323302    184     966318     304768     7404016    1080067    2230330    16364    4881      0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A
70     backupd-helper   0.0  00:01.61 2     1   49     2056K  0B     1624K  70    1     sleeping  0[0]       0.00000 0.00000    0   48353     187     12951      4463       20003      33686      33864      1580     943       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A
67     diskarbitrationd 0.0  00:10.14 2     1   388    1888K  0B     1268K  67    1     sleeping *0[1]       0.00000 0.00000    0   108135    9450    397393     63630      160987     737308     110175     68       64        0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A
65     mds              0.0  34:43.29 6     3   427    25M    0B     19M    65    1     sleeping *0[1]       0.07948 0.00000    0   10218276  1130    8641635+   2278764    77459254+  8497699+   22970843+  4777     115344+   0.1   297389    1044149   root               N/A    N/A   N/A   N/A   N/A   N/A
58     logd             0.0  02:11.87 3     3   1013   22M    0B     18M    58    1     sleeping *0[1]       0.00000 0.00000    0   916160    137     1072017    1143846    3522191    1177663    2097780    122209   2579      0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A
54     powerd           0.0  01:18.00 2     1   110    3024K  0B     1236K  54    1     sleeping *0[1]       0.00000 0.00000    0   355994    163     2201451    195551     1701441    4498492    1439838    5138     4900      0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A
53     configd          0.0  00:35.52 8     1   502    6988K  0B     5692K  53    1     sleeping *0[1]       0.00000 0.00000    0   405273    8946    1086941    265165     1010375    1831585    318750     2702     1467      0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A
51     systemstats      0.0  01:37.85 2     1   104    13M    0B     12M    51    1     sleeping  0[6173]    0.00000 0.00000    0   444928    243     176497     88960      17783121   161387     323078     4493     3302      0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A
50     appleeventsd     0.0  00:01.39 2     2   149    4852K  0B     3984K  50    1     sleeping  0[580]     0.00000 0.00000    55  42435     171     10795      11615      41718      26413      28822      126      498       0.0   0         0         _appleevents       N/A    N/A   N/A   N/A   N/A   N/A
45     fseventsd        0.1  24:31.60 11    1   235    7584K  0B     5828K  45    1     sleeping *0[1]       0.00821 0.00000    0   1592268+  126     890954+    114449     53953281+  3783663+   6800502+   127      130354+   0.1   1057114   2270071   root               N/A    N/A   N/A   N/A   N/A   N/A
44     kextd            0.0  01:06.87 2     1   72     14M    0B     14M    44    1     sleeping *0[1]       0.00000 0.00000    0   571241    1868    41168      17616      2309228    909046     636727     10307    196       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A
43     uninstalld       0.0  00:03.35 2     1   21     736K   0B     464K   43    1     sleeping *0[1]       0.00000 0.00000    0   25931     124     10164      21         106126     40607      75589      49       10886     0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A
40     UserEventAgent   0.0  00:05.79 4     1   552    3840K  0B     2848K  40    1     sleeping *0[1]       0.00000 0.00000    0   74534     244     70417      46054      184487     131816     105245     2469     1115      0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A
39     syslogd          0.0  00:08.46 3     3   69     1052K  0B     608K   39    1     sleeping  0[8048]    0.00000 0.00000    0   42030     80      47027      5029       541473     103415     148315     131      2245      0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A
1      launchd          0.0  05:41.03 2     2   3166   24M    0B     14M    1     0     sleeping  0[0]       0.00000 0.00000    0   387451    7027    2931642    830865     4937734    4190511    1565092    2220     4282      0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A
0      kernel_task      12.6 03:03:38 147/4 0   0      793M   0B     0B     0     0     running   0[0]       0.00000 0.00000    0   697274    0       178430264+ 164073208+ 0          0          467156194+ 0        38381461+ 0.0   58749488  330862965 root               N/A    N/A   N/A   N/A   N/A   N/A
Processes: 303 total, 2 running, 301 sleeping, 1490 threads
2021/10/12 15:53:46
Load Avg: 1.23, 1.25, 1.18
CPU usage: 1.10% user, 5.73% sys, 93.15% idle
SharedLibs: 157M resident, 52M data, 30M linkedit.
MemRegions: 129813 total, 1685M resident, 52M private, 532M shared.
PhysMem: 8176M used (2223M wired), 16M unused.
VM: 5177G vsize, 1371M framework vsize, 12836793(0) swapins, 13807265(0) swapouts.
Networks: packets: 19427236/22G in, 10440143/967M out.
Disks: 18380623/185G read, 41489330/419G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM    PURG   CMPRS  PGRP  PPID  STATE    BOOSTS      %CPU_ME %CPU_OTHRS UID FAULTS    COW     MSGSENT    MSGRECV    SYSBSD     SYSMACH    CSW        PAGEINS  IDLEW     POWER INSTRS    CYCLES    USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
94683  top              11.3 00:00.67 1/1   0   25     2996K  0B     0B     94683 94322 running  *0[1]       0.00000 0.00000    0   2351+     95      316588+    158281+    5248+      168016+    212+       19       2         11.3  270289031 397231316 root               N/A    N/A   N/A   N/A   N/A   N/A
94682  ex2              0.9  00:00.05 1     0   10     60M+   0B     0B     94682 94322 sleeping *0[1]       0.00000 0.00000    501 15719+    2644    35+        17+        103+       61+        79+        29       3+        0.9   7405499   22812848  ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94679  CoreServicesUIAg 0.0  00:00.11 3     1   146    3880K  0B     0B     94679 1     sleeping *0[1]       0.00000 0.00000    501 4615      256     1005       255        2537       2092       1128       20       50        0.0   0         0         ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94674  secinitd         0.0  00:00.08 2     2   39     3364K  0B     0B     94674 1     sleeping  0[0]       0.00000 0.00000    0   2703      179     136        43         1038       311        153        4        2         0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A
94673  com.apple.geod   0.0  00:00.21 4     1   50     8176K  0B     0B     94673 1     sleeping  0[0]       0.00000 0.00000    0   4602      213     309        104        6573       767        1277       9        58        0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A
94672  AssetCacheLocato 0.0  00:00.04 2     1   54     2664K  0B     0B     94672 1     sleeping  0[1]       0.00000 0.00000    501 2409      163     166        41         724        398        188        76       0         0.0   0         0         ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94671  pbs              0.0  00:00.06 2     2   45     1560K  0B     932K   94671 1     sleeping  0[0]       0.00000 0.00000    501 2327      147     194        58         790        381        361        22       0         0.0   0         0         ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94670  iconservicesagen 0.0  00:00.08 2     2   48     2608K  0B     2328K  94670 1     sleeping  0[0]       0.00000 0.00000    0   2561      151     139        45         1798       373        376        89       0         0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A
94669  iconservicesagen 0.0  00:00.20 2     2   57     4292K  0B     3768K  94669 1     sleeping  0[0]       0.00000 0.00000    501 3709      152     187        53         4490       849        1106       557      0         0.0   0         0         ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94665  amfid            0.0  00:00.05 2     2   42     2192K  0B     860K   94665 1     sleeping *0[1]       0.00000 0.00000    0   2368      171     111        33         851        280        500        17       2         0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A
94661  AudioComponentRe 0.0  00:00.04 2     1   40     2948K  0B     2628K  94661 1     sleeping  0[1]       0.00000 0.00000    0   2280      142     92         35         768        231        114        0        1         0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A
94660  systemsoundserve 0.0  00:00.07 2     2   69     3224K  248K   2156K  94660 1     sleeping *0[1]       0.00000 0.00000    0   2879      315     794        235        940        957        570        187      4         0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A
94658  com.apple.geod   0.0  00:00.11 3     1   54     6804K  0B     2936K  94658 1     sleeping  0[1]       0.00000 0.00000    501 4195      206     268        82         2188       691        1490       56       91        0.0   0         0         ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94657  networkservicepr 0.0  00:00.05 2     1   51     3008K  0B     2628K  94657 1     sleeping *0[1]       0.00000 0.00000    501 3336      204     175        51         847        404        160        21       2         0.0   0         0         ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94656  nsurlstoraged    0.0  00:00.05 2     1   34     1644K  0B     692K   94656 1     sleeping  0[0]       0.00000 0.00000    243 2493      143     115        37         546        264        172        47       1         0.0   0         0         _nsurlstoraged     N/A    N/A   N/A   N/A   N/A   N/A
94652  Google Chrome He 0.0  00:01.54 13    1   169    44M    0B     33M    4148  4148  sleeping *0[4]       0.00000 0.00000    501 31808     2283    7489       4287       16069      14822      10336      13       414       0.0   0         0         ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94628  mdworker_shared  0.0  00:00.18 4     1   61     6988K  0B     6776K  94628 1     sleeping *0[1]       0.00000 0.00000    501 15217     189     717        292        1712       1508       654        18       0         0.0   0         0         ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94619  nehelper         0.0  00:00.06 2     1   54     2912K  0B     1684K  94619 1     sleeping  0[4]       0.00000 0.00000    0   3684      171     270        86         1858       481        367        15       2         0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A
94608  CalNCService     0.0  00:00.38 3     2   127    7212K  0B     6044K  94608 1     sleeping  0[24]      0.00000 0.00000    501 9349      288     1216       325        3827       2164       1688       17       18        0.0   0         0         ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94607  CalendarAgent    0.0  00:01.08 3     1   161    13M    0B     8896K  94607 1     sleeping  0[31]      0.00000 0.00000    501 12655     374     2308       704        20803      4541       6766       27       159       0.0   0         0         ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94605  ContextService   0.0  00:00.12 2     2   42     4796K  0B     4752K  94605 1     sleeping  0[1]       0.00000 0.00000    501 3447      712     250        63         888        516        592        1095     1         0.0   0         0         ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94604  suggestd         0.0  00:00.30 2     1   117    9316K  0B     9264K  94604 1     sleeping  0[6]       0.00000 0.00000    501 10705     328     965        228        6743       1793       2680       31       7         0.0   0         0         ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94603  coreduetd        0.0  00:00.08 2     1   48     3996K  0B     2504K  94603 1     sleeping  0[2]       0.00000 0.00000    0   5188      194     237        88         2008       487        524        33       4         0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A
94601  com.apple.WebKit 0.0  00:00.15 3     1   90     5044K  0B     4532K  94601 1     sleeping *0[42]      0.00000 0.00000    501 8787      395     1227       387        2882       3709       1553       137      180       0.0   0         0         ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94594  mobileassetd     0.0  00:00.59 2     1   41     14M    0B     1320K  94594 1     sleeping  0[24]      0.00000 0.00000    0   13483     173     468        189        2628       779        1539       73       14        0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A
94593  com.apple.audio. 0.0  00:00.01 2     2   16     804K   0B     796K   94593 1     sleeping  0[2]       0.00000 0.00000    501 2589      138     97         34         446        208        64         7        1         0.0   0         0         ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94592  AudioComponentRe 0.0  00:00.16 2     1   59     3712K  0B     3640K  94592 1     sleeping  0[1]       0.00000 0.00000    501 3679      447     185        50         13770      417        488        38       0         0.0   0         0         ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94591  MTLCompilerServi 0.0  00:00.16 2     2   24     6560K  0B     6548K  94591 1     sleeping  0[2]       0.00000 0.00000    501 5120      455     127        40         614        319        746        2007     1         0.0   0         0         ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94588  com.apple.WebKit 0.0  00:04.76 9     2   176    100M   0B     25M    94588 1     sleeping  0[78]      0.00000 0.00000    501 69527     889     25808      10789      44399      62772      33545      2935     1054      0.0   0         0         ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94587  com.apple.Safari 0.0  00:00.03 2     1   42     2384K  0B     2360K  94587 1     sleeping  0[12]      0.00000 0.00000    501 3827      158     180        48         654        356        283        38       1         0.0   0         0         ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94585  com.apple.Safari 0.0  00:00.11 3     1   50     4164K  0B     3912K  94585 1     sleeping  0[3]       0.00000 0.00000    501 7814      211     243        70         2206       563        1311       15       147       0.0   0         0         ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94584  pkd              0.0  00:00.17 2     1   52     2388K  0B     2312K  94584 1     sleeping  0[5]       0.00000 0.00000    501 3898      175     395        109        5978       790        1952       68       2         0.0   0         0         ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94565  distnoted        0.0  00:00.01 2     1   33     1936K  0B     1700K  94565 1     sleeping *0[1]       0.00000 0.00000    89  1036      93      108        40         316        246        68         0        0         0.0   0         0         _spotlight         N/A    N/A   N/A   N/A   N/A   N/A
94564  mdworker_shared  0.0  00:00.04 3     1   47     2948K  0B     2160K  94564 1     sleeping *0[1]       0.00000 0.00000    89  3859      188     573        242        756        599        204        0        2         0.0   0         0         _spotlight         N/A    N/A   N/A   N/A   N/A   N/A
94563  mdworker_shared  0.0  00:00.59 4     1   61     7784K  0B     7596K  94563 1     sleeping *0[1]       0.00000 0.00000    501 37928     189     1382       513        6153       4849       1175       42       0         0.0   0         0         ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94558  sysmond          0.0  00:00.17 2     2   19     800K   0B     356K   94558 1     sleeping  0[0]       0.00000 0.00000    0   1780      126     6580       2987       5694       6099       1225       1        1         0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A
94554  mdworker_shared  0.0  00:00.11 4     1   61     4480K  0B     3456K  94554 1     sleeping *0[1]       0.00000 0.00000    501 6525      189     872        351        1745       1130       368        0        1         0.0   0         0         ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94553  com.apple.hiserv 0.0  00:00.04 2     2   33     936K   0B     344K   94553 1     sleeping  0[88]      0.00000 0.00000    501 1797      128     1364       256        1420       1552       816        1        1         0.0   0         0         ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94552  gamecontrollerd  0.0  00:00.12 3     2   41     1240K  0B     680K   94552 1     sleeping  0[130]     0.00000 0.00000    247 2984      151     834+       172        4478+      1881+      2698+      2        260+      0.0   86865     374788    _gamecontrollerd   N/A    N/A   N/A   N/A   N/A   N/A
94551  cfprefsd         0.0  00:00.00 2     2   20     432K   0B     252K   94551 1     sleeping  0[21]      0.00000 0.00000    200 523       91      194        62         421        301        120        0        2         0.0   0         0         _softwareupdate    N/A    N/A   N/A   N/A   N/A   N/A
94550  cfprefsd         0.0  00:00.00 2     2   20     440K   0B     260K   94550 1     sleeping  0[21]      0.00000 0.00000    205 517       91      185        62         411        301        116        0        2         0.0   0         0         _locationd         N/A    N/A   N/A   N/A   N/A   N/A
94549  mediaremoted     0.0  00:00.18 2     1   134    3012K  0B     1948K  94549 1     sleeping  0[78]      0.00000 0.00000    0   7120      250     3979       1082       6223       5079       2996       37       8         0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A
94548  SiriNCService    0.0  00:00.47 3     1   154    3860K  0B     2232K  94548 1     sleeping  0[564]     0.00000 0.00000    501 8782      290     21583      6516       7769       26399      6506       75       169       0.0   0         0         ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94547  assistantd       0.0  00:00.12 2     1   105    5056K  0B     4064K  94547 1     sleeping  0[36]      0.00000 0.00000    501 7871      366     742        319        3758       1363       1517       134      15        0.0   0         0         ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94546  mdworker_shared  0.0  00:01.73 4     1   61     7280K  0B     816K   94546 1     sleeping *0[1]       0.00000 0.00000    501 110287    189     3229       1188       17047      14321      3119       0        1         0.0   0         0         ganslev  N/A    N/A   N/A   N/A   N/A   N/A
